"xseconds,"rate"
"5:","134"
"10:","133"
"15:","135"
"20:","135"
"25:","133"
"30:","134"
"35:","134"
"40:","133"
"45:","134"
"50:","136"
"55:","131"
"60:","134"
"65:","135"
"70:","134"
"75:","133"
"80:","136"
"85:","134"
"90:","133"
"95:","134"
"100:","134"
"105:","133"
"110:","135"
"115:","131"
"120:","135"
"125:","135"
"130:","135"
"135:","134"
"140:","134"
"145:","134"
"150:","134"
"155:","134"
"160:","134"
"165:","134"
"170:","134"
"175:","131"
"180:","125"
"185:","134"
"190:","134"
"195:","132"
"200:","132"
"205:","135"
"210:","134"
"215:","132"
"220:","131"
"225:","132"
"230:","132"
"235:","133"
"240:","189"
