"xseconds,"rate"
"5:","9"
"10:","6"
"15:","6"
"20:","6"
"25:","5"
"30:","6"
"35:","6"
"40:","5"
"45:","1"
"50:","0"
"55:","0"
"60:","3"
"65:","6"
"70:","6"
"75:","6"
"80:","6"
"85:","6"
"90:","6"
"95:","6"
"100:","5"
"105:","6"
"110:","5"
"115:","5"
"120:","6"
"125:","5"
"130:","6"
"135:","6"
"140:","6"
"145:","6"
"150:","6"
"155:","5"
"160:","6"
"165:","6"
"170:","6"
"175:","5"
"180:","6"
"185:","5"
"190:","6"
"195:","6"
"200:","6"
"205:","5"
"210:","5"
"215:","6"
"220:","6"
"225:","6"
"230:","5"
"235:","5"
"240:","5"
"245:","6"
"250:","6"
"255:","6"
"260:","5"
"265:","6"
"270:","5"
"275:","6"
"280:","5"
"285:","6"
"290:","6"
"295:","6"
"300:","6"
"305:","6"
"310:","5"
"315:","6"
"320:","6"
"325:","6"
"330:","6"
"335:","6"
"340:","5"
"345:","6"
"350:","5"
"355:","6"
"360:","6"
"365:","6"
"370:","6"
"375:","5"
"380:","5"
"385:","6"
"390:","5"
"395:","6"
"400:","6"
"405:","5"
"410:","6"
"415:","6"
"420:","5"
"425:","6"
"430:","6"
"435:","5"
"440:","6"
"445:","6"
"450:","6"
"455:","6"
"460:","13"
"465:","15"
"470:","15"
"475:","15"
"480:","15"
